reference;brand;group
23218E1A.M          ;FAG                 ;ROLAMENTO                     
23218E1A.M.C3       ;FAG                 ;ROLAMENTO                     
23218E1AK.M         ;FAG                 ;ROLAMENTO                     
23218E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23218E1K.TVPB       ;FAG                 ;ROLAMENTO                     
23218E1TVPB         ;FAG                 ;ROLAMENTO                     
23220 EASKMC3 #     ;FAG                 ;ROLAMENTO                     
23220E1A.M          ;FAG                 ;ROLAMENTO                     
23220E1AK.M         ;FAG                 ;ROLAMENTO                     
23220E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23220E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23220E1K.TVPB       ;FAG                 ;ROLAMENTO                     
23220E1TVPB         ;FAG                 ;ROLAMENTO                     
23220E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
23222E1A.M          ;FAG                 ;ROLAMENTO                     
23222E1A.M.C3       ;FAG                 ;ROLAMENTO                     
23222E1AK.M         ;FAG                 ;ROLAMENTO                     
23222E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23222E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
23224E1A.M          ;FAG                 ;ROLAMENTO                     
23224E1AK.M         ;FAG                 ;ROLAMENTO                     
23224E1AK.M         ;FAG                 ;ROLAMENTO                     
23224E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23226E1A.M          ;FAG                 ;ROLAMENTO                     
23226E1A.M.C3       ;FAG                 ;ROLAMENTO                     
23226E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23226E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
23228E1A.M.C3       ;FAG                 ;ROLAMENTO                     
23228E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23230E1A.M.C3       ;FAG                 ;ROLAMENTO                     
23230E1AK.M         ;FAG                 ;ROLAMENTO                     
23230E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23230E1K.TVPB       ;FAG                 ;ROLAMENTO                     
23230E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
23230ESK.TVPB #     ;FAG                 ;ROLAMENTO                     
23230ESK.TVPB.C3 #  ;FAG                 ;ROLAMENTO                     
23232E1A.M          ;FAG                 ;ROLAMENTO                     
23232E1AK.M.C3      ;FAG                 ;ROLAMENTO                     
23232E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
23232EASKM.C3 #     ;FAG                 ;ROLAMENTO                     
23238BK.MB.C3       ;FAG                 ;ROLAMENTO                     
23238BK.MB.C3 #     ;FAG                 ;ROLAMENTO                     
23240BK.MB.C3       ;FAG                 ;ROLAMENTO                     
23244E1.C3 #        ;FAG                 ;ROLAMENTO                     
23244K.MB.C3        ;FAG                 ;ROLAMENTO                     
23244MB.C3          ;FAG                 ;ROLAMENTO                     
23248B.MB           ;FAG                 ;ROLAMENTO                     
23248BK.MB.C3       ;FAG                 ;ROLAMENTO                     
23248BK.MB.C3 #     ;FAG                 ;ROLAMENTO                     
23252BK.MB.C3       ;FAG                 ;ROLAMENTO                     
23322AS.MA.T41A     ;FAG                 ;ROLAMENTO                     
234408M.SP          ;FAG                 ;ROLAMENTO                     
234416M.SP          ;FAG                 ;ROLAMENTO                     
239/560B.MB         ;FAG                 ;ROLAMENTO                     
23936S.MB           ;FAG                 ;ROLAMENTO                     
23936S.MB.C3        ;FAG                 ;ROLAMENTO                     
23940S.MB #         ;FAG                 ;ROLAMENTO                     
23944S.MB           ;FAG                 ;ROLAMENTO                     
23948MB.C3          ;FAG                 ;ROLAMENTO                     
23952K.MB.C3        ;FAG                 ;ROLAMENTO                     
23968MB             ;FAG                 ;ROLAMENTO                     
23968MB.C3          ;FAG                 ;ROLAMENTO                     
23984K.MB.C3        ;FAG                 ;ROLAMENTO                     
24024E1.C3          ;FAG                 ;ROLAMENTO                     
24024ESK30TVPB.C3   ;FAG                 ;ROLAMENTO                     
24024S.MB.C3        ;FAG                 ;ROLAMENTO                     
24026S.MB.C3        ;FAG                 ;ROLAMENTO                     
24028E1             ;FAG                 ;ROLAMENTO                     
24030E1.C3          ;FAG                 ;ROLAMENTO                     
24030S.MB.C3        ;FAG                 ;ROLAMENTO                     
24030S.MB.C4        ;FAG                 ;ROLAMENTO                     
24032SK30.MB.C4     ;FAG                 ;ROLAMENTO                     
24034BS.MB.C3       ;FAG                 ;ROLAMENTO                     
24036BS.MB          ;FAG                 ;ROLAMENTO                     
24038E1             ;FAG                 ;ROLAMENTO                     
24044BK30.MB        ;FAG                 ;ROLAMENTO                     
24048B.MB           ;FAG                 ;ROLAMENTO                     
24048BK30MB         ;FAG                 ;ROLAMENTO                     
24056B.MB.C3        ;FAG                 ;ROLAMENTO                     
24060B.MB.C3        ;FAG                 ;ROLAMENTO                     
24072B.MB           ;FAG                 ;ROLAMENTO                     
24080B.MB           ;FAG                 ;ROLAMENTO                     
24122E1.C3          ;FAG                 ;ROLAMENTO                     
24122E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
24126E1TVPB         ;FAG                 ;ROLAMENTO                     
24128E1.C3          ;FAG                 ;ROLAMENTO                     
24128S.C3           ;FAG                 ;ROLAMENTO                     
24130BSK30.C3       ;FAG                 ;ROLAMENTO                     
24130E1K30          ;FAG                 ;ROLAMENTO                     
24130E1K30.C3       ;FAG                 ;ROLAMENTO                     
24132BS.C3          ;FAG                 ;ROLAMENTO                     
24132E1.C3          ;FAG                 ;ROLAMENTO                     
24140B.C3           ;FAG                 ;ROLAMENTO                     
24140BK30.C3        ;FAG                 ;ROLAMENTO                     
24144B              ;FAG                 ;ROLAMENTO                     
24144BK30.C3        ;FAG                 ;ROLAMENTO                     
24148 BC3 #         ;FAG                 ;ROLAMENTO                     
24152B              ;FAG                 ;ROLAMENTO                     
24156B              ;FAG                 ;ROLAMENTO                     
24156BK30.C3        ;FAG                 ;ROLAMENTO                     
29317E              ;FAG                 ;ROLAMENTO                     
29318E              ;FAG                 ;ROLAMENTO                     
29320E              ;FAG                 ;ROLAMENTO                     
29322E              ;FAG                 ;ROLAMENTO                     
29322E              ;FAG                 ;ROLAMENTO                     
29324E              ;FAG                 ;ROLAMENTO                     
29324E              ;FAG                 ;ROLAMENTO                     
29326E              ;FAG                 ;ROLAMENTO                     
29326E              ;FAG                 ;ROLAMENTO                     
29330E              ;FAG                 ;ROLAMENTO                     
29330E.MB           ;FAG                 ;ROLAMENTO                     
29332E              ;FAG                 ;ROLAMENTO                     
29334E              ;FAG                 ;ROLAMENTO                     
29336E              ;FAG                 ;ROLAMENTO                     
29340E              ;FAG                 ;ROLAMENTO                     
29352E              ;FAG                 ;ROLAMENTO                     
29412E              ;FAG                 ;ROLAMENTO                     
29412E              ;FAG                 ;ROLAMENTO                     
29413E              ;FAG                 ;ROLAMENTO                     
29413E              ;FAG                 ;ROLAMENTO                     
29414E              ;FAG                 ;ROLAMENTO                     
29414E              ;FAG                 ;ROLAMENTO                     
29415E              ;FAG                 ;ROLAMENTO                     
29416E              ;FAG                 ;ROLAMENTO                     
29416E              ;FAG                 ;ROLAMENTO                     
29416E #            ;FAG                 ;ROLAMENTO                     
29417E              ;FAG                 ;ROLAMENTO                     
29418E              ;FAG                 ;ROLAMENTO                     
29418E              ;FAG                 ;ROLAMENTO                     
29418E #            ;FAG                 ;ROLAMENTO                     
29420E              ;FAG                 ;ROLAMENTO                     
29420E              ;FAG                 ;ROLAMENTO                     
29422E              ;FAG                 ;ROLAMENTO                     
29422E              ;FAG                 ;ROLAMENTO                     
29424E              ;FAG                 ;ROLAMENTO                     
29424E              ;FAG                 ;ROLAMENTO                     
29428E              ;FAG                 ;ROLAMENTO                     
29430E              ;FAG                 ;ROLAMENTO                     
29432E              ;FAG                 ;ROLAMENTO                     
29434E              ;FAG                 ;ROLAMENTO                     
29436E1             ;FAG                 ;ROLAMENTO                     
29444E              ;FAG                 ;ROLAMENTO                     
29448 #             ;FAG                 ;ROLAMENTO                     
29448E              ;FAG                 ;ROLAMENTO                     
29460E              ;FAG                 ;ROLAMENTO                     
3,0 X 13,8          ;INA                 ;ROLAMENTO                     
3,000X15,800        ;INA                 ;ROLAMENTO                     
3,00X15,80          ;INA                 ;ROLAMENTO                     
3,5 X 15,8          ;INA                 ;ROLAMENTO                     
3,500 X 11,800 #    ;INA                 ;ROLAMENTO                     
30202A              ;FAG                 ;ROLAMENTO                     
30203A.TVP          ;FAG                 ;ROLAMENTO                     
30203DY             ;FAG                 ;ROLAMENTO                     
30204-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30204A              ;FAG                 ;ROLAMENTO                     
30205-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30205A              ;FAG                 ;ROLAMENTO                     
30205A #            ;FAG                 ;ROLAMENTO                     
30206               ;FAG                 ;ROLAMENTO                     
30206-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30206A              ;FAG                 ;ROLAMENTO                     
30206A #            ;FAG                 ;ROLAMENTO                     
30207-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30207A              ;FAG                 ;ROLAMENTO                     
30208-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30208A              ;FAG                 ;ROLAMENTO                     
30208A #            ;FAG                 ;ROLAMENTO                     
30209-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30209A              ;FAG                 ;ROLAMENTO                     
30209DY             ;FAG                 ;ROLAMENTO                     
30210-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30210A              ;FAG                 ;ROLAMENTO                     
30211-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30211A              ;FAG                 ;ROLAMENTO                     
30211A              ;FAG                 ;ROLAMENTO                     
30212-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30212A              ;FAG                 ;ROLAMENTO                     
30212DY             ;FAG                 ;ROLAMENTO                     
30213-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30213A              ;FAG                 ;ROLAMENTO                     
30214-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30214A              ;FAG                 ;ROLAMENTO                     
30214DY             ;FAG                 ;ROLAMENTO                     
30215A              ;FAG                 ;ROLAMENTO                     
30215A #            ;FAG                 ;ROLAMENTO                     
30216A              ;FAG                 ;ROLAMENTO                     
30217-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30217A              ;FAG                 ;ROLAMENTO                     
30218A              ;FAG                 ;ROLAMENTO                     
30220A              ;FAG                 ;ROLAMENTO                     
30221A              ;FAG                 ;ROLAMENTO                     
30221A              ;FAG                 ;ROLAMENTO                     
30222A              ;FAG                 ;ROLAMENTO                     
30222A              ;FAG                 ;ROLAMENTO                     
30224A              ;FAG                 ;ROLAMENTO                     
30226A              ;FAG                 ;ROLAMENTO                     
30228A              ;FAG                 ;ROLAMENTO                     
30230A              ;FAG                 ;ROLAMENTO                     
30232               ;FAG                 ;ROLAMENTO                     
30302A              ;FAG                 ;ROLAMENTO                     
30303A              ;FAG                 ;ROLAMENTO                     
30304A              ;FAG                 ;ROLAMENTO                     
30305A              ;FAG                 ;ROLAMENTO                     
30306-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30306A              ;FAG                 ;ROLAMENTO                     
30307A              ;FAG                 ;ROLAMENTO                     
30308 #             ;FAG                 ;ROLAMENTO                     
30308-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30308A              ;FAG                 ;ROLAMENTO                     
30308A.TVP          ;FAG                 ;ROLAMENTO                     
30309A              ;FAG                 ;ROLAMENTO                     
30310A              ;FAG                 ;ROLAMENTO                     
30310A              ;FAG                 ;ROLAMENTO                     
30311A              ;FAG                 ;ROLAMENTO                     
30311A              ;FAG                 ;ROLAMENTO                     
30312-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
30312A              ;FAG                 ;ROLAMENTO                     
30313A              ;FAG                 ;ROLAMENTO                     
30315A              ;FAG                 ;ROLAMENTO                     
30316A              ;FAG                 ;ROLAMENTO                     
30320A              ;FAG                 ;ROLAMENTO                     
31305A              ;FAG                 ;ROLAMENTO                     
31306A              ;FAG                 ;ROLAMENTO                     
31307A              ;FAG                 ;ROLAMENTO                     
31307A #            ;FAG                 ;ROLAMENTO                     
31308A              ;FAG                 ;ROLAMENTO                     
31310A              ;FAG                 ;ROLAMENTO                     
31312A              ;FAG                 ;ROLAMENTO                     
31313-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
31313A              ;FAG                 ;ROLAMENTO                     
31314A              ;FAG                 ;ROLAMENTO                     
31315               ;FAG                 ;ROLAMENTO                     
31317               ;FAG                 ;ROLAMENTO                     
31318               ;FAG                 ;ROLAMENTO                     
31319A              ;FAG                 ;ROLAMENTO                     
31324X              ;FAG                 ;ROLAMENTO                     
320/28 X            ;FAG                 ;ROLAMENTO                     
32005X              ;FAG                 ;ROLAMENTO                     
32005X #            ;FAG                 ;ROLAMENTO                     
32005XDY            ;FAG                 ;ROLAMENTO                     
32006-X-CYB-W136    ;FAG                 ;ROLAMENTO                     
32006X              ;FAG                 ;ROLAMENTO                     
32007-X-CYB-W136    ;FAG                 ;ROLAMENTO                     
32007X              ;FAG                 ;ROLAMENTO                     
32008 XA            ;FAG                 ;ROLAMENTO                     
32008-XA-CYB-W136   ;FAG                 ;ROLAMENTO                     
32008XDY            ;FAG                 ;ROLAMENTO                     
32009-XA-CYB-W136   ;FAG                 ;ROLAMENTO                     
32009CZ             ;FAG                 ;ROLAMENTO                     
32009XA             ;FAG                 ;ROLAMENTO                     
32009XDY            ;FAG                 ;ROLAMENTO                     
3200B.TVH           ;FAG                 ;ROLAMENTO                     
32010 X             ;FAG                 ;ROLAMENTO                     
32010-X-CYB-W136    ;FAG                 ;ROLAMENTO                     
32010CZ             ;FAG                 ;ROLAMENTO                     
32011X              ;FAG                 ;ROLAMENTO                     
32012 X             ;FAG                 ;ROLAMENTO                     
32012-X-CYB-W136    ;FAG                 ;ROLAMENTO                     
32013 #             ;FAG                 ;ROLAMENTO                     
32013X              ;FAG                 ;ROLAMENTO                     
32014X              ;FAG                 ;ROLAMENTO                     
32014X              ;FAG                 ;ROLAMENTO                     
32015X              ;FAG                 ;ROLAMENTO                     
32016-X-CYB-W136    ;FAG                 ;ROLAMENTO                     
32016X              ;FAG                 ;ROLAMENTO                     
32016X              ;FAG                 ;ROLAMENTO                     
32017X              ;FAG                 ;ROLAMENTO                     
32018-XA-CYB-W136   ;FAG                 ;ROLAMENTO                     
32018XA             ;FAG                 ;ROLAMENTO                     
32018XA #           ;FAG                 ;ROLAMENTO                     
32019XA             ;FAG                 ;ROLAMENTO                     
3201B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3201B.2RSR.TVH **   ;FAG                 ;ROLAMENTO                     
3201B.TVH           ;FAG                 ;ROLAMENTO                     
3201BB.2RSR.TVH     ;FAG                 ;ROLAMENTO                     
3201BB.TVH          ;FAG                 ;ROLAMENTO                     
3201BB.TVH          ;FAG                 ;ROLAMENTO                     
32020-X-CYB-W136    ;FAG                 ;ROLAMENTO                     
32020X              ;FAG                 ;ROLAMENTO                     
32021X              ;FAG                 ;ROLAMENTO                     
32022 #             ;FAG                 ;ROLAMENTO                     
32022-X-CYB-W136    ;FAG                 ;ROLAMENTO                     
32022X              ;FAG                 ;ROLAMENTO                     
32026X              ;FAG                 ;ROLAMENTO                     
32028X              ;FAG                 ;ROLAMENTO                     
3202B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3202B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3202B.TVH           ;FAG                 ;ROLAMENTO                     
3202B.TVH #         ;FAG                 ;ROLAMENTO                     
3203-B-2Z-TVH#E     ;FAG                 ;ROLAMENTO                     
32030X              ;FAG                 ;ROLAMENTO                     
32032X              ;FAG                 ;ROLAMENTO                     
32034X              ;FAG                 ;ROLAMENTO                     
3203B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3203B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3203B.TVH           ;FAG                 ;ROLAMENTO                     
3203B.TVH           ;FAG                 ;ROLAMENTO                     
32044X              ;FAG                 ;ROLAMENTO                     
32048X              ;FAG                 ;ROLAMENTO                     
3204B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3204B.TVH           ;FAG                 ;ROLAMENTO                     
3204B.TVH           ;FAG                 ;ROLAMENTO                     
3204B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3205 ZZ             ;INA                 ;ROLAMENTO                     
3205B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3205B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3205B.2ZR.TVH #     ;FAG                 ;ROLAMENTO                     
3205B.TVH           ;FAG                 ;ROLAMENTO                     
3205B.TVH #         ;FAG                 ;ROLAMENTO                     
3205B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3206B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3206B.2RSR.TVH.C3   ;FAG                 ;ROLAMENTO                     
3206B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3206B.2ZR.TVH #     ;FAG                 ;ROLAMENTO                     
3206B.TVH           ;FAG                 ;ROLAMENTO                     
3206B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3207B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3207B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3207B.TVH           ;FAG                 ;ROLAMENTO                     
3207B.TVH #         ;FAG                 ;ROLAMENTO                     
3207B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3207J               ;FAG                 ;ROLAMENTO                     
3208 B2ZRTVH #      ;FAG                 ;ROLAMENTO                     
3208 ZZ             ;INA                 ;ROLAMENTO                     
3208B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3208B.2RSR.TVH #    ;FAG                 ;ROLAMENTO                     
3208B.TVH           ;FAG                 ;ROLAMENTO                     
3208B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3209B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3209B.TVH           ;FAG                 ;ROLAMENTO                     
3209B.TVH #         ;FAG                 ;ROLAMENTO                     
3209B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3210 ZZ #           ;INA                 ;ROLAMENTO                     
3210B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3210B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3210B.TVH           ;FAG                 ;ROLAMENTO                     
3210B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3211B.TVH           ;FAG                 ;ROLAMENTO                     
3211B.TVH           ;FAG                 ;ROLAMENTO                     
3211B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3212B.TVH           ;FAG                 ;ROLAMENTO                     
3212B.TVH           ;FAG                 ;ROLAMENTO                     
3213B.TVH           ;FAG                 ;ROLAMENTO                     
3213B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3214B.TVH           ;FAG                 ;ROLAMENTO                     
3215B.TVH           ;FAG                 ;ROLAMENTO                     
3215B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3216B.TVH           ;FAG                 ;ROLAMENTO                     
3216B.TVH           ;FAG                 ;ROLAMENTO                     
3217 #              ;FAG                 ;ROLAMENTO                     
3217.C3             ;FAG                 ;ROLAMENTO                     
3218                ;FAG                 ;ROLAMENTO                     
3219M               ;FAG                 ;ROLAMENTO                     
3220                ;FAG                 ;ROLAMENTO                     
3220.C3             ;FAG                 ;ROLAMENTO                     
32205-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32205A              ;FAG                 ;ROLAMENTO                     
32205B              ;FAG                 ;ROLAMENTO                     
32205B              ;FAG                 ;ROLAMENTO                     
32206-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32206A              ;FAG                 ;ROLAMENTO                     
32207-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32207A              ;FAG                 ;ROLAMENTO                     
32207A              ;FAG                 ;ROLAMENTO                     
32208-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32208A              ;FAG                 ;ROLAMENTO                     
32208A #            ;FAG                 ;ROLAMENTO                     
32209-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32209A              ;FAG                 ;ROLAMENTO                     
32210 A #           ;FAG                 ;ROLAMENTO                     
32210-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32210A              ;FAG                 ;ROLAMENTO                     
32210A              ;FAG                 ;ROLAMENTO                     
32211A              ;FAG                 ;ROLAMENTO                     
32211DY             ;FAG                 ;ROLAMENTO                     
32212               ;FAG                 ;ROLAMENTO                     
32212-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32212A              ;FAG                 ;ROLAMENTO                     
32212A              ;FAG                 ;ROLAMENTO                     
32212A #            ;FAG                 ;ROLAMENTO                     
32213-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32213A              ;FAG                 ;ROLAMENTO                     
32213A              ;FAG                 ;ROLAMENTO                     
32213A #            ;FAG                 ;ROLAMENTO                     
32214-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32214A              ;FAG                 ;ROLAMENTO                     
32215A              ;FAG                 ;ROLAMENTO                     
32216 #             ;FAG                 ;ROLAMENTO                     
32216-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32216A              ;FAG                 ;ROLAMENTO                     
32216A              ;FAG                 ;ROLAMENTO                     
32217A              ;FAG                 ;ROLAMENTO                     
32218 #             ;FAG                 ;ROLAMENTO                     
32218-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32218A              ;FAG                 ;ROLAMENTO                     
32218A #            ;FAG                 ;ROLAMENTO                     
32219-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32219A              ;FAG                 ;ROLAMENTO                     
3222 MC3            ;FAG                 ;ROLAMENTO                     
32220A              ;FAG                 ;ROLAMENTO                     
32220A              ;FAG                 ;ROLAMENTO                     
32222A              ;FAG                 ;ROLAMENTO                     
32224A              ;FAG                 ;ROLAMENTO                     
32226A              ;FAG                 ;ROLAMENTO                     
32228A              ;FAG                 ;ROLAMENTO                     
3222M               ;FAG                 ;ROLAMENTO                     
3222M.C3            ;FAG                 ;ROLAMENTO                     
32230A              ;FAG                 ;ROLAMENTO                     
32236A              ;FAG                 ;ROLAMENTO                     
32238A              ;FAG                 ;ROLAMENTO                     
32240A              ;FAG                 ;ROLAMENTO                     
32304 #             ;FAG                 ;ROLAMENTO                     
32304A              ;FAG                 ;ROLAMENTO                     
32305A              ;FAG                 ;ROLAMENTO                     
32306-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32306A              ;FAG                 ;ROLAMENTO                     
32307-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32307A              ;FAG                 ;ROLAMENTO                     
32308-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32308A              ;FAG                 ;ROLAMENTO                     
32308A              ;FAG                 ;ROLAMENTO                     
32309-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32309A              ;FAG                 ;ROLAMENTO                     
32310 #             ;FAG                 ;ROLAMENTO                     
32310-A-CYB-W136    ;FAG                 ;ROLAMENTO                     
32310A              ;FAG                 ;ROLAMENTO                     
32311A              ;FAG                 ;ROLAMENTO                     
32311A.515794       ;FAG                 ;ROLAMENTO                     
32312A              ;FAG                 ;ROLAMENTO                     
32313A              ;FAG                 ;ROLAMENTO                     
32313BA             ;FAG                 ;ROLAMENTO                     
32314A              ;FAG                 ;ROLAMENTO                     
32315A              ;FAG                 ;ROLAMENTO                     
32316A              ;FAG                 ;ROLAMENTO                     
32317A              ;FAG                 ;ROLAMENTO                     
32317B              ;FAG                 ;ROLAMENTO                     
32318A              ;FAG                 ;ROLAMENTO                     
32318A #            ;FAG                 ;ROLAMENTO                     
32319A              ;FAG                 ;ROLAMENTO                     
32321A              ;FAG                 ;ROLAMENTO                     
32932               ;FAG                 ;PARAFUSO                      
32934               ;FAG                 ;ROLAMENTO                     
32940A              ;FAG                 ;ROLAMENTO                     
32944               ;FAG                 ;ROLAMENTO                     
32960               ;FAG                 ;ROLAMENTO                     
33010               ;FAG                 ;ROLAMENTO                     
33011               ;FAG                 ;ROLAMENTO                     
33012               ;FAG                 ;ROLAMENTO                     
33013               ;FAG                 ;ROLAMENTO                     
33014               ;FAG                 ;ROLAMENTO                     
33015               ;FAG                 ;ROLAMENTO                     
33015-CYB-W136      ;FAG                 ;ROLAMENTO                     
33017               ;FAG                 ;ROLAMENTO                     
33017 #             ;FAG                 ;ROLAMENTO                     
33017-CYB-W136      ;FAG                 ;ROLAMENTO                     
33018               ;FAG                 ;ROLAMENTO                     
33018 #             ;FAG                 ;ROLAMENTO                     
33019               ;FAG                 ;ROLAMENTO                     
33019-CYB-W136      ;FAG                 ;ROLAMENTO                     
33020               ;FAG                 ;ROLAMENTO                     
33020 #             ;FAG                 ;ROLAMENTO                     
33020-CYB-W136      ;FAG                 ;ROLAMENTO                     
33021               ;FAG                 ;ROLAMENTO                     
33021 #             ;FAG                 ;ROLAMENTO                     
33022-CYB-W136      ;FAG                 ;ROLAMENTO                     
33022.QP41          ;FAG                 ;ROLAMENTO                     
33024               ;FAG                 ;ROLAMENTO                     
3302B.TVH           ;FAG                 ;ROLAMENTO                     
3302B.TVH #         ;FAG                 ;ROLAMENTO                     
3303B.TVH           ;FAG                 ;ROLAMENTO                     
3303B.TVH           ;FAG                 ;ROLAMENTO                     
3304B.TVH           ;FAG                 ;ROLAMENTO                     
3304B.TVH           ;FAG                 ;ROLAMENTO                     
3305 ZZ             ;INA                 ;ROLAMENTO                     
3305B.TVH           ;FAG                 ;ROLAMENTO                     
3306-B-TNH#E        ;FAG                 ;ROLAMENTO                     
3306-B-TNH-C3#E     ;FAG                 ;ROLAMENTO                     
3306.2RSR           ;FAG                 ;ROLAMENTO                     
3306B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3306B.2RSR.TVH #    ;FAG                 ;ROLAMENTO                     
3306B.TVH           ;FAG                 ;ROLAMENTO                     
3306B.TVH **        ;FAG                 ;ROLAMENTO                     
3306B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3307B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3307B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3307B.TVH           ;FAG                 ;ROLAMENTO                     
3307B.TVH           ;FAG                 ;ROLAMENTO                     
3308.2ZR.TVH **     ;FAG                 ;ROLAMENTO                     
3308.TVH #          ;FAG                 ;ROLAMENTO                     
3308B.2RSR.TVH #    ;FAG                 ;ROLAMENTO                     
3308B.2ZR.TVH       ;FAG                 ;ROLAMENTO                     
3308B.2ZR.TVH #     ;FAG                 ;ROLAMENTO                     
3308B.TVH           ;FAG                 ;ROLAMENTO                     
3308B.TVH           ;FAG                 ;ROLAMENTO                     
3308B.TVH.C3        ;FAG                 ;ROLAMENTO                     
3309B.2RSR.TVH      ;FAG                 ;ROLAMENTO                     
3309B.TVH           ;FAG                 ;ROLAMENTO                     
3309B.TVH           ;FAG                 ;ROLAMENTO                     
3309DA.MA           ;FAG                 ;ROLAMENTO                     
33109               ;FAG                 ;ROLAMENTO                     
3310B.TVH           ;FAG                 ;ROLAMENTO                     
3310B.TVH.C3        ;FAG                 ;ROLAMENTO                     
33110               ;FAG                 ;ROLAMENTO                     
33111               ;FAG                 ;ROLAMENTO                     
33111 #             ;FAG                 ;ROLAMENTO                     
33112               ;FAG                 ;ROLAMENTO                     
33112 #             ;FAG                 ;ROLAMENTO                     
33113               ;FAG                 ;ROLAMENTO                     
33113 #             ;FAG                 ;ROLAMENTO                     
33115               ;FAG                 ;PARTES E PC DE CAMINHAO       
33115 #             ;FAG                 ;ROLAMENTO                     
33116 #             ;FAG                 ;ROLAMENTO                     
33117               ;FAG                 ;ROLAMENTO                     
33117 #             ;FAG                 ;ROLAMENTO                     
