reference;brand;group
1222K.M.C3 #        ;FAG                 ;ROLAMENTO                     
1222M               ;FAG                 ;ROLAMENTO                     
1222M.C3            ;FAG                 ;ROLAMENTO                     
129TV               ;FAG                 ;ROLAMENTO                     
12X24X20 #          ;INA                 ;ROLAMENTO                     
1302TV              ;FAG                 ;ROLAMENTO                     
1302TV.C3           ;FAG                 ;ROLAMENTO                     
1304TV              ;FAG                 ;ROLAMENTO                     
1304TV.C3           ;FAG                 ;ROLAMENTO                     
1305K.TV.C3         ;FAG                 ;ROLAMENTO                     
1305TV              ;FAG                 ;ROLAMENTO                     
1305TV.C3           ;FAG                 ;ROLAMENTO                     
1306TV              ;FAG                 ;ROLAMENTO                     
1306TV.C3           ;FAG                 ;ROLAMENTO                     
1307K.TV.C3         ;FAG                 ;ROLAMENTO                     
1307TV              ;FAG                 ;ROLAMENTO                     
1307TV #            ;FAG                 ;ROLAMENTO                     
1307TV.C3           ;FAG                 ;ROLAMENTO                     
1308K.TV.C3         ;FAG                 ;ROLAMENTO                     
1308TV              ;FAG                 ;ROLAMENTO                     
1308TV.C3           ;FAG                 ;ROLAMENTO                     
1309K.TV.C3         ;FAG                 ;ROLAMENTO                     
1309TV              ;FAG                 ;ROLAMENTO                     
1309TV.C3           ;FAG                 ;ROLAMENTO                     
1310K.TV.C3         ;FAG                 ;ROLAMENTO                     
1310TV              ;FAG                 ;ROLAMENTO                     
1310TV.C3           ;FAG                 ;ROLAMENTO                     
1311K.TV.C3         ;FAG                 ;ROLAMENTO                     
1311TV              ;FAG                 ;ROLAMENTO                     
1311TV.C3           ;FAG                 ;ROLAMENTO                     
1312K.TV.C3         ;FAG                 ;ROLAMENTO                     
1312TV              ;FAG                 ;ROLAMENTO                     
1312TV.C3           ;FAG                 ;ROLAMENTO                     
1313K.TV.C3         ;FAG                 ;ROLAMENTO                     
1314M               ;FAG                 ;ROLAMENTO                     
1315M               ;FAG                 ;ROLAMENTO                     
1315M.C3            ;FAG                 ;ROLAMENTO                     
1316K.M.C3          ;FAG                 ;ROLAMENTO                     
1317K.M.C3          ;FAG                 ;ROLAMENTO                     
1318K.M.C3          ;FAG                 ;ROLAMENTO                     
1318M               ;FAG                 ;ROLAMENTO                     
1319K.M.C3          ;FAG                 ;ROLAMENTO                     
151-14              ;INA                 ;ROLAMENTO                     
16003               ;FAG                 ;ROLAMENTO                     
16003 2ZR #         ;FAG                 ;ROLAMENTO                     
16004               ;FAG                 ;ROLAMENTO                     
16005               ;FAG                 ;ROLAMENTO                     
16005-A#E           ;FAG                 ;ROLAMENTO                     
16005.2ZR           ;FAG                 ;ROLAMENTO                     
16005.2ZR #         ;FAG                 ;ROLAMENTO                     
16005.C3            ;FAG                 ;ROLAMENTO                     
16006               ;FAG                 ;ROLAMENTO                     
16006 #             ;FAG                 ;ROLAMENTO                     
16006.2ZR           ;FAG                 ;ROLAMENTO                     
16007               ;FAG                 ;ROLAMENTO                     
16008               ;FAG                 ;ROLAMENTO                     
16008 #             ;FAG                 ;ROLAMENTO                     
16008.C3            ;FAG                 ;ROLAMENTO                     
16009               ;FAG                 ;ROLAMENTO                     
16011               ;FAG                 ;ROLAMENTO                     
16012               ;FAG                 ;ROLAMENTO                     
16012 #             ;FAG                 ;ROLAMENTO                     
16013               ;FAG                 ;ROLAMENTO                     
16015               ;FAG                 ;ROLAMENTO                     
16016               ;FAG                 ;ROLAMENTO                     
16019               ;FAG                 ;ROLAMENTO                     
16020               ;FAG                 ;ROLAMENTO                     
16020               ;FAG                 ;ROLAMENTO                     
16021               ;FAG                 ;ROLAMENTO                     
16024               ;FAG                 ;ROLAMENTO                     
16028               ;FAG                 ;ROLAMENTO                     
16030               ;FAG                 ;ROLAMENTO                     
16204               ;FAG                 ;ROLAMENTO                     
16205               ;FAG                 ;ROLAMENTO                     
16206               ;FAG                 ;ROLAMENTO                     
16208               ;FAG                 ;ROLAMENTO                     
16456               ;INA                 ;ROLAMENTO                     
2,365 X 16,800 #    ;INA                 ;ROLAMENTO                     
2,500X17,800        ;INA                 ;ROLAMENTO                     
2,5X13,8            ;INA                 ;ROLAMENTO                     
200216DD            ;FAG                 ;ROLAMENTO                     
20205T              ;FAG                 ;ROLAMENTO                     
20205T #            ;FAG                 ;ROLAMENTO                     
20205T.C3           ;FAG                 ;ROLAMENTO                     
20208T              ;FAG                 ;ROLAMENTO                     
20209K.T.C3 #       ;FAG                 ;ROLAMENTO                     
20209KC3/06451371 # ;FAG                 ;ROLAMENTO                     
20211T.C3           ;FAG                 ;ROLAMENTO                     
20216K.T.C3 #       ;FAG                 ;ROLAMENTO                     
20216T              ;FAG                 ;ROLAMENTO                     
20219MB             ;FAG                 ;ROLAMENTO                     
20221MB             ;FAG                 ;ROLAMENTO                     
20221MB             ;FAG                 ;ROLAMENTO                     
203 KRR AH02        ;INA                 ;ROLAMENTO                     
203 KRRAH02 #       ;INA                 ;ROLAMENTO                     
203-KRR-AH02        ;INA                 ;ROLAMENTO                     
205 KRR AH02        ;INA                 ;ROLAMENTO                     
205 KRRB AH02       ;INA                 ;ROLAMENTO                     
207 KRR AH03        ;INA                 ;ROLAMENTO                     
207 KRR AH03 #      ;INA                 ;ROLAMENTO                     
207 KRR AH09        ;INA                 ;ROLAMENTO                     
207 KRRB            ;INA                 ;ROLAMENTO                     
207 KRRB AH 02      ;INA                 ;ROLAMENTO                     
207 KRRB-10         ;INA                 ;ROLAMENTO                     
208 KRR             ;INA                 ;ROLAMENTO                     
208 KRR AH01=88508  ;INA                 ;ROLAMENTO                     
208 KRR AH03        ;INA                 ;ROLAMENTO                     
208 KRR AH04=88128  ;INA                 ;ROLAMENTO                     
208 KRR AH04=88128 #;INA                 ;ROLAMENTO                     
208 KRRB AH01       ;INA                 ;ROLAMENTO                     
209 KRR AH02 #      ;INA                 ;ROLAMENTO                     
210 KRR             ;INA                 ;ROLAMENTO                     
21304E1TVPB         ;FAG                 ;ROLAMENTO                     
21306E1TVPB         ;FAG                 ;ROLAMENTO                     
21306E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21306E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21307E1TVPB         ;FAG                 ;ROLAMENTO                     
21307E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21307E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21307E1TVPB.C4      ;FAG                 ;ROLAMENTO                     
21307ETVPB #        ;FAG                 ;ROLAMENTO                     
21308E1TVPB         ;FAG                 ;ROLAMENTO                     
21308E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21308E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21309E1TVPB         ;FAG                 ;ROLAMENTO                     
21309E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21309E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21310E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
21310E1TVPB         ;FAG                 ;ROLAMENTO                     
21310E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21311E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
21311E1TVPB         ;FAG                 ;ROLAMENTO                     
21311E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21312E1K.TVPB       ;FAG                 ;ROLAMENTO                     
21312E1TVPB         ;FAG                 ;ROLAMENTO                     
21312E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21312E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21313E1             ;FAG                 ;ROLAMENTO                     
21313E1.C3          ;FAG                 ;ROLAMENTO                     
21313E1K            ;FAG                 ;ROLAMENTO                     
21313E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
21313E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21314E1             ;FAG                 ;ROLAMENTO                     
21314E1TVPB         ;FAG                 ;ROLAMENTO                     
21314E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21315E1             ;FAG                 ;ROLAMENTO                     
21315E1.C3          ;FAG                 ;ROLAMENTO                     
21315E1K.TVPB       ;FAG                 ;ROLAMENTO                     
21315E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21316E1TVPB         ;FAG                 ;ROLAMENTO                     
21316E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21317E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
21317E1TVPB         ;FAG                 ;ROLAMENTO                     
21317E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21318E1TVPB         ;FAG                 ;ROLAMENTO                     
21318E1TVPB.C3      ;FAG                 ;ROLAMENTO                     
21318E1TVPB.C3 #    ;FAG                 ;ROLAMENTO                     
21319E1K.TVPB       ;FAG                 ;ROLAMENTO                     
21319E1TVPB         ;FAG                 ;ROLAMENTO                     
21320E1K.TVPB.C3    ;FAG                 ;ROLAMENTO                     
21320E1TVPB         ;FAG                 ;ROLAMENTO                     
21322E1TVPB         ;FAG                 ;ROLAMENTO                     
2200.2RS.TV         ;FAG                 ;ROLAMENTO                     
2200.2RS.TV #       ;FAG                 ;ROLAMENTO                     
2200TV              ;FAG                 ;ROLAMENTO                     
2200TV.C3           ;FAG                 ;ROLAMENTO                     
2201.2RS.TV         ;FAG                 ;ROLAMENTO                     
2201TV              ;FAG                 ;ROLAMENTO                     
2201TV              ;FAG                 ;ROLAMENTO                     
2201TV.C3           ;FAG                 ;ROLAMENTO                     
2202.2RS.TV         ;FAG                 ;ROLAMENTO                     
2202TV              ;FAG                 ;ROLAMENTO                     
2202TV.C3           ;FAG                 ;ROLAMENTO                     
2203.2RS.TV         ;FAG                 ;ROLAMENTO                     
2203TV              ;FAG                 ;ROLAMENTO                     
2203TV #            ;FAG                 ;ROLAMENTO                     
2203TV.C3           ;FAG                 ;ROLAMENTO                     
2204.2RS.TV         ;FAG                 ;ROLAMENTO                     
2204.2RSR.TV #      ;FAG                 ;ROLAMENTO                     
2204TV              ;FAG                 ;ROLAMENTO                     
2204TV.C3           ;FAG                 ;ROLAMENTO                     
2205.2RS.TV         ;FAG                 ;ROLAMENTO                     
2205.2RS.TV #       ;FAG                 ;ROLAMENTO                     
2205.2RS.TV.C3      ;FAG                 ;ROLAMENTO                     
2205K.2RS.TV.C3     ;FAG                 ;ROLAMENTO                     
2205K.2RS.TV.C3 #   ;FAG                 ;ROLAMENTO                     
2205K.TV.C3         ;FAG                 ;ROLAMENTO                     
2205TV              ;FAG                 ;ROLAMENTO                     
2205TV.C3           ;FAG                 ;ROLAMENTO                     
2206.2RS.TV         ;FAG                 ;ROLAMENTO                     
2206.2RS.TV #       ;FAG                 ;ROLAMENTO                     
2206K.2RS.TV.C3     ;FAG                 ;ROLAMENTO                     
2206K.TV.C3         ;FAG                 ;ROLAMENTO                     
2206TV              ;FAG                 ;ROLAMENTO                     
2206TV.C3           ;FAG                 ;ROLAMENTO                     
2207.2RS.TV         ;FAG                 ;ROLAMENTO                     
2207.2RS.TV #       ;FAG                 ;ROLAMENTO                     
2207K.2RS.TV.C3     ;FAG                 ;ROLAMENTO                     
2207K.TV.C3         ;FAG                 ;ROLAMENTO                     
2207TV              ;FAG                 ;ROLAMENTO                     
2207TV.C3           ;FAG                 ;ROLAMENTO                     
2208 K **           ;FAG                 ;ROLAMENTO                     
2208.2RS.TV         ;FAG                 ;ROLAMENTO                     
2208.2RS.TV #       ;FAG                 ;ROLAMENTO                     
2208K.TV.C3         ;FAG                 ;ROLAMENTO                     
2208K.TV.C3 #       ;FAG                 ;ROLAMENTO                     
2208TV              ;FAG                 ;ROLAMENTO                     
2208TV.C3           ;FAG                 ;ROLAMENTO                     
2209.2RS.TV         ;FAG                 ;ROLAMENTO                     
2209.2RS.TV #       ;FAG                 ;ROLAMENTO                     
2209K.2RS.TV.C3     ;FAG                 ;ROLAMENTO                     
2209K.TV.C3         ;FAG                 ;ROLAMENTO                     
2209TV              ;FAG                 ;ROLAMENTO                     
